,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
34,AR1,"Russellville, AR",AR,1,1,2,4,2,6,35.2784173,-93.1337856
35,ARA,"New Iberia, LA",LA,18,10,21,401,398,799,30.0035365,-91.81872849999999
36,ART,"Watertown, NY",NY,11348,11052,22400,68280,84903,153183,43.9747838,-75.91075649999999
37,ASL,"Marshall, TX",TX,1,1,2,8,8,16,32.5448714,-94.36741839999999
38,ASN,"Talladega, AL",AL,20,52,69,0,0,0,33.4359416,-86.1058048
39,AST,"Astoria, OR",OR,2569,2581,5150,12636,11575,24211,46.1878841,-123.8312534
40,ATL,"Atlanta, GA",GA,6557923,6544667,13102590,577121045,577950924,1155071969,33.7489954,-84.3879824
41,ATO,"Athens, OH",OH,1,0,0,0,0,0,39.3292396,-82.1012554
42,ATW,"Appleton, WI",WI,130238,131330,261568,4153377,4084243,8237620,44.2619309,-88.41538469999999
43,ATY,"Watertown, SD",SD,16229,16232,32461,218695,220634,439329,44.8994088,-97.1150732
44,AUG,"Augusta, ME",ME,7920,7841,15761,28667,27467,56134,44.3106241,-69.7794897
45,AUO,"Auburn, AL",AL,2,1,3,3,1,4,32.6098566,-85.48078249999999
46,AUS,"Austin, TX",TX,796194,796157,1592351,63420857,63096163,126517020,30.267153,-97.7430608
47,AVL,"Asheville, NC",NC,116757,116914,233671,4549199,4419741,8968940,35.5950581,-82.5514869
48,AVP,"Scranton, PA",PA,96352,96436,192788,3423362,3304361,6727723,41.408969,-75.66241219999999
49,AXN,"Alexandria, MN",MN,341,340,681,0,0,0,45.8848164,-95.3776663
50,AXV,"Wapakoneta, OH",OH,5,5,10,0,0,0,40.5678265,-84.1935594
51,AZA,"Phoenix, AZ",AZ,3530,3493,7023,461532,462769,924301,33.4483771,-112.0740373
52,AZO,"Kalamazoo, MI",MI,133491,133906,267397,4130123,4014230,8144353,42.2917069,-85.5872286
53,BAD,"Shreveport, LA",LA,43,40,78,2359,1597,3650,32.5251516,-93.7501789
54,BBC,"Bay City, TX",TX,1,1,2,0,0,0,28.9827565,-95.969402
55,BDL,"Hartford, CT",CT,737575,737927,1475502,54390597,54234147,108624744,41.7658043,-72.6733723
56,BDR,"Bridgeport, CT",CT,9793,10514,20307,66719,67242,133961,41.1792258,-73.1894384
57,BFD,"Bradford, PA",PA,11318,10621,21794,63863,55932,118618,41.9564953,-78.649163
58,BFF,"Scottsbluff, NE",NE,2247,2421,4666,25080,29028,54077,41.8666341,-103.6671662
59,BFI,"Seattle, WA",WA,31524,33137,64660,147130,156710,303840,47.6062095,-122.3320708
60,BFL,"Bakersfield, CA",CA,57978,58151,116128,1534565,1501853,3036319,35.3732921,-119.0187125
61,BFM,"Mobile, AL",AL,5805,6999,12802,1175,1496,2671,30.6953657,-88.0398912
62,BFR,"Bedford, IN",IN,2,2,4,0,0,0,38.8611619,-86.4872149
63,BGD,"Borger, TX",TX,1,0,0,0,0,0,35.6678203,-101.3973876
64,BGM,"Binghamton, NY",NY,66305,66718,133023,1876537,1842741,3719278,42.09868669999999,-75.91797380000001
65,BGR,"Bangor, ME",ME,108063,107522,215585,4582687,3983431,8566118,44.8016128,-68.7712257
66,BGS,"Big Spring, TX",TX,1,2,3,0,23,23,32.2503979,-101.4787355
67,BHM,"Birmingham, AL",AL,440228,442707,882935,29430382,29372717,58803099,33.5185892,-86.8103567
68,BIF,"El Paso, TX",TX,272,244,498,13836,12721,25643,31.7618778,-106.4850217
69,BIH,"Bishop, CA",CA,1,1,2,2,2,4,37.3614238,-118.3996636
70,BIL,"Billings, MT",MT,119978,120833,240811,5074806,5048005,10122811,45.7832856,-108.5006904
71,BIS,"Bismarck, ND",ND,45896,47046,92942,2441115,2439492,4880607,46.8083268,-100.7837392
72,BJI,"Bemidji, MN",MN,19934,20836,40770,383545,392831,776376,47.471573,-94.8826861
73,BJJ,"Wooster, OH",OH,2,2,4,0,0,0,40.8050565,-81.935143
74,BKG,"Branson, MO",MO,646,647,1293,47608,47529,95137,36.6436731,-93.21851439999999
75,BKL,"Cleveland, OH",OH,189,200,384,6798,6792,13530,41.49932,-81.6943605
76,BKW,"Beckley, WV",WV,4890,2686,7571,21413,15977,37390,37.7781702,-81.1881557
77,BKX,"Brookings, SD",SD,5406,5556,10961,14801,15846,30640,44.3113573,-96.79838769999999
78,BLI,"Bellingham, WA",WA,80883,76517,157400,2177855,2108541,4286396,48.7519112,-122.4786854
79,BMC,"Brigham City, UT",UT,3,1,2,0,0,0,41.5102129,-112.0155015
80,BMG,"Bloomington, IN",IN,201,189,382,9173,8769,17910,39.165325,-86.52638569999999
81,BMI,"Bloomington, IL",IL,111588,111512,223100,3222255,3143056,6365311,40.4842027,-88.99368729999999
82,BNA,"Nashville, TN",TN,1185702,1185911,2371613,86532515,86518258,173050773,36.1626638,-86.7816016
83,BOK,"Brookings, OR",OR,3,4,7,0,0,0,42.0526114,-124.2839819
84,BOS,"Boston, MA",MA,2495558,2494046,4989604,189820718,190599092,380419810,42.3600825,-71.0588801
85,BPT,"Beaumont, TX",TX,60621,60673,121294,1102312,1077770,2180082,30.080174,-94.1265562
86,BQK,"Brunswick, GA",GA,22371,22442,44813,426380,438592,864972,31.1499528,-81.49148939999999
87,BRD,"Brainerd, MN",MN,19423,19590,39013,311792,306020,617812,46.3526733,-94.2020084
88,BRL,"Burlington, IA",IA,18498,18525,37023,153862,150198,304060,40.8076529,-91.1128901
89,BRO,"Brownsville, TX",TX,32316,32278,64594,1196382,1169011,2365393,25.9017472,-97.4974838
90,BSM,"Austin, TX",TX,17,11,22,0,0,0,30.267153,-97.7430608
91,BTL,"Battle Creek, MI",MI,124,117,220,2229,2276,4066,42.3211522,-85.17971419999999
92,BTM,"Butte, MT",MT,39551,39670,79221,730378,703750,1434128,46.0038232,-112.5347775
93,BTR,"Baton Rouge, LA",LA,186573,187224,373797,8512748,8504222,17016970,30.4514677,-91.18714659999999
94,BTV,"Burlington, VT",VT,196574,197245,393819,8660095,8620414,17280509,44.4758825,-73.21207199999999
95,BUF,"Buffalo, NY",NY,593324,594710,1188034,37796151,37634190,75430341,42.88644679999999,-78.8783689
96,BVX,"Batesville, AR",AR,12,2,4,0,0,0,35.769799,-91.6409721
97,BWD,"Brownwood, TX",TX,4033,4016,8049,4222,3870,8092,31.7093197,-98.9911611
98,BWG,"Bowling Green, KY",KY,2371,2867,5231,3950,3741,7663,36.9685219,-86.4808043
99,BWI,"Baltimore, MD",MD,1670192,1673040,3343232,142778526,142532459,285310985,39.2903848,-76.6121893
100,BYH,"Blytheville, AR",AR,73,59,122,0,0,0,35.9272953,-89.9189753
101,BZN,"Bozeman, MT",MT,82860,82843,165703,4370312,4330338,8700650,45.6769979,-111.0429339
